DOYLE;ARTHUR CONAN
HOLMES;SHERLOCK
HOLMES;MYCROFT
WATSON;JOHN H
MORSTAN;WATSON NEE MORSTAN
GREGSON;TOBIAS
DREBBER;ENOCH J
VON ORMSTEIN;WILHELM
ADLER;IRENE
WILSON;JABEZ
HOPKINS;EZEKIAH
ROSS;DUNCAN
SPAULDING;VINCENT
CLAY;JOHN
SUTHERLAND;MARY
ANGEL;HOSMER
MCCARTHY;CHARLES
CROWDER;WILLIAM
MORAN;PATIENCE
OPENSHAW;JOHN
WHITNEY;ISA
ST. CLAIR;NEVILLE
BOONE;HUGH
STONER;HELEN
STONER;JULIA
ROYLOTT;GRIMESBY
HAYLING;JEREMIAH
ST. SIMON;ROBERT
DORAN;HARTTY
DORAN;ALOYSIUS
MILLAR;FLORA
MOULTON;FRANCIS
HOLDER;ALEXANDER
HOLDER;MARY
MUNRO;SPENCE
RUCASTLE;JEPHRO
BLAZE;SILVER
STRAKER;JOHN
BROWN;SILAS
HUNTER;NED
BAXTER;EDITH
MUSGRAVE;REGINALD
MUSGRAVE;RALPH
HOWELLS;RACHEL
TREGELLIS;JANET
BARCLAY;JAMES
DEVOY;NANCY
TREVELYAN;PERCY
KRATIDES;PAUL
MELAS;MR.
LATIMER;HAROLD
PHELPS;PERCY
HARRISON;JOSEPH
MORIARTY;PROFESSOR
ADAIR;RONALD
WOODLEY;EDITH
STREET;221B BAKER
MEUNIER;OSCAR
MORAN;SEBASTIAN
MCFARLANE;JOHN HECTOR
OLDACRE;JONAS
CUBITT;HILTON
PATRICK;ELSIE
SLANEY;ABE
SMITH;VIOLET
MORTON;CYRIL
CARRUTHERS;BOB
SMITH;RALPH
SOAMES;CATHCART
HUXTABLE;THORNEYCROFT
CAIRNS;PATRICK
CAREY;PETER
MILVERTON;CHARLES AUGUSTUS
BLACKWELL;EVA
HUDSON;MORSE
AMBERLEY;JOSIAH
ELMAN;J. C.
BREWER;SAM
NORBERTON;ROBERT
FALDER;BEATRICE
MASON;JOHN
EVANS;CARRIE
MERRILOW;MRS.
PARAVA;ABBAS
MURDOCH;IAN
STACKHURST;HAROLD
MCPHERSON;FITZROY
BENNETT;TREVORR
MORPHY;ALICE
GIBSON;J. NEIL
CUMMINGS;JOYCE
YARD;SCOTLAND
DUNBAR;GRACE
GARRIDEB;NATHAN
PRESCOTT;RODGER
SLOANE;HANS
FERGUSON;ROBERT
STOCKDALE;BARNEY
MABERLEY;MARY
CANTLEMERE;LORD
DODD;JAMES M
GRUNER;ADELBERT
DE MERVILLE;VIOLET
JOHNSON;SHINWELL
DAMERY;JAMES
LEWIS;GEORGE
GRAFENSTEIN;COUNT VON UND ZU
TREGENNIS;BRENDAY
TREGENNIS;MORTIMER
STERNDALE;LEON
WOLLAS;TREDANNICK
AGAR;MOORE
DOBNEY;FRANCIS
SAVAGE;VICTOR
SMITH;CULVERTON
MEEK;JASPER
FISHER;PENROSE
CROSS;CHARING
WEST;CADOGAN
LUCCA;GENARO
GORGIANO;GIUSEPPE
CUSHING;SARAH
ECCLES;SCOTT
FFOLLIOTT;GEORGE
HYNES;HYNES
BAKER;JAMES
STONE;JOSHUA
DOUGLAS;IVY
SHAFTER;ETTIE
CORMAC;TIGER
EDWARDS;BIRDY
CARNAWAY;JIM
MCMURDO;JOHN
BARKER;CECIL
TRACEY;COOMBE
BASKERVILLE;SIR CHARLES
HOPE;TRELAWNEY
