nodenum	nfaces	nsamp	nvis	bboxx	bboxy	bboxz
0	30	534	19	1687.5	1687.5	187.5
1	12	238	13	1125.0	1125.0	187.5
2	8	159	13	750.0	1125.0	187.5
3	6	106	13	750.0	750.0	187.5
4	16	159	14	1125.0	750.0	187.5
5	8	159	13	1125.0	750.0	187.5
6	6	106	13	750.0	750.0	187.5
7	8	165	10	937.5	937.5	187.5
8	12	48	14	600.0	525.0	150.0
9	12	68	12	600.0	750.0	150.0
10	16	152	4	675.0	1200.0	187.5
11	9	110	12	975.0	750.0	150.0
12	8	21	5	600.0	225.0	150.0
13	6	1	15	1125.0	0.0	150.0
14	14	111	13	1125.0	525.0	187.5
15	4	1	8	1125.0	375.0	0.0
16	8	127	12	1125.0	375.0	300.0
17	6	127	12	1125.0	375.0	300.0
18	4	76	12	1125.0	225.0	300.0
19	4	1	10	0.0	150.0	150.0
20	4	1	9	1125.0	375.0	0.0
21	8	127	13	1125.0	375.0	300.0
22	6	127	12	1125.0	375.0	300.0
23	4	60	11	525.0	375.0	300.0
24	10	165	10	937.5	937.5	187.5
25	14	51	13	562.5	600.0	150.0
26	14	51	12	562.5	600.0	150.0
27	8	26	16	750.0	225.0	150.0

Total: 28 nodes (42%)
