depth	nfaces	side
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1
8	8	0
8	8	1

Total: 2048 2048
