nodenum	nfaces	nsamp	nvis	bboxx	bboxy	bboxz
0	32	801	15	2000.0	800.0	500.0
1	8	37	8	200.0	200.0	900.0
2	52	801	15	2000.0	800.0	500.0
3	16	9	11	200.0	400.0	100.0
4	16	15	10	700.0	200.0	100.0
5	52	801	15	2000.0	800.0	500.0
6	16	9	12	200.0	400.0	100.0
7	16	15	8	700.0	200.0	100.0
8	8	17	6	200.0	200.0	400.0
9	12	193	13	800.0	800.0	300.0
10	6	1	0	300.0	600.0	0.0
11	10	1	0	800.0	600.0	0.0
12	16	45	11	200.0	200.0	1100.0
13	4	17	11	400.0	200.0	200.0
14	2	1	0	300.0	200.0	0.0
15	16	25	9	200.0	200.0	600.0
16	12	193	13	800.0	800.0	300.0
17	5	25	10	200.0	400.0	300.0
18	2	1	0	200.0	200.0	0.0
19	6	65	20	800.0	800.0	100.0
20	10	15	17	700.0	200.0	100.0
21	12	7	14	300.0	200.0	100.0
22	15	193	21	800.0	800.0	300.0
23	11	37	19	200.0	600.0	300.0
24	18	17	13	800.0	200.0	100.0
25	9	193	19	800.0	800.0	300.0
26	7	2	13	200.0	100.0	100.0
27	10	193	19	800.0	800.0	300.0
28	6	9	5	200.0	400.0	100.0
29	12	193	18	800.0	800.0	300.0
30	16	7	10	300.0	200.0	100.0
31	14	37	11	600.0	200.0	300.0
32	2	1	0	300.0	200.0	0.0
33	12	43	18	700.0	200.0	300.0
34	23	193	18	800.0	800.0	300.0
35	6	49	0	200.0	800.0	300.0
36	11	36	10	200.0	600.0	300.0
37	11	37	14	200.0	600.0	300.0
38	24	16	11	800.0	200.0	100.0
39	15	193	17	800.0	800.0	300.0
40	8	3	10	200.0	100.0	100.0
41	14	193	17	800.0	800.0	300.0
42	8	9	8	200.0	400.0	100.0
43	32	641	10	1000.0	1600.0	400.0
44	14	25	10	200.0	200.0	600.0
45	5	24	10	200.0	400.0	300.0
46	50	641	14	1000.0	1600.0	400.0
47	14	45	8	200.0	200.0	1100.0
48	16	321	11	1000.0	800.0	400.0
49	6	25	6	400.0	200.0	300.0
50	24	321	11	1000.0	800.0	400.0
51	26	321	11	1000.0	800.0	400.0

Total: 52 nodes (21%)
