nodenum	nfaces	nsamp	nvis	bboxx	bboxy	bboxz
0	18	4	21	140.0	141.0	20.0
1	12	2	22	80.0	141.0	20.0
2	8	2	18	80.0	91.0	20.0
3	8	2	18	80.0	91.0	20.0
4	6	1	18	80.0	41.0	20.0
5	4	1	12	51.3	18.5	20.0
6	12	1	14	60.0	60.0	20.0
7	12	1	22	40.0	80.0	20.0
8	8	2	21	80.0	100.0	20.0
9	8	2	21	80.0	100.0	20.0
10	6	2	17	80.0	100.0	20.0
11	4	1	21	17.5	100.0	20.0
12	2	1	0	5.0	0.0	5.0
13	4	1	18	35.0	5.0	5.0
14	8	2	19	80.0	100.0	20.0
15	8	2	22	80.0	100.0	20.0
16	6	1	17	80.0	50.0	20.0
17	4	1	17	17.5	50.0	20.0
18	2	1	0	5.0	0.0	5.0
19	18	2	15	70.0	120.0	20.0
20	11	2	14	70.0	120.0	20.0
21	11	2	14	70.0	120.0	20.0
22	6	1	11	70.0	70.0	20.0
23	6	2	11	70.0	120.0	20.0
24	4	1	15	32.5	120.0	20.0
25	10	2	15	70.0	120.0	20.0
26	8	2	15	70.0	120.0	20.0
27	8	2	15	70.0	120.0	20.0
28	6	2	15	70.0	120.0	20.0
29	4	1	15	32.5	120.0	20.0
30	9	1	18	40.0	60.0	20.0
31	9	1	19	40.0	60.0	20.0
32	4	1	18	32.5	7.5	20.0
33	4	1	20	40.0	7.5	20.0
34	2	1	0	0.0	5.0	5.0
35	10	1	12	60.0	80.0	20.0
36	10	1	12	60.0	80.0	20.0
37	6	1	17	60.0	60.0	20.0
38	4	1	13	7.5	60.0	20.0
39	2	1	0	5.0	0.0	5.0

Total: 40 nodes (37%)
